degree_celsius,humidity,ph,latitude,longitude,date et heure
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:21:26
27.5000,340,5.6026,45.19137573,5.75408983,27/6/2021 19:21:27
27.4375,339,5.5912,45.19137573,5.75408983,27/6/2021 19:21:29
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:31
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:33
27.4375,339,5.5912,45.19137573,5.75408983,27/6/2021 19:21:35
27.4375,340,5.5998,45.19137573,5.75408983,27/6/2021 19:21:36
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:38
27.4375,340,5.6055,45.19137573,5.75408983,27/6/2021 19:21:39
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:41
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:43
27.4375,338,5.5827,45.19137573,5.75408983,27/6/2021 19:21:44
27.4375,340,5.5969,45.19137573,5.75408983,27/6/2021 19:21:45
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:21:47
27.4375,340,5.5969,45.19137573,5.75408983,27/6/2021 19:21:48
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:51
27.4375,341,5.6026,45.19137573,5.75408983,27/6/2021 19:21:52
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:54
27.4375,340,5.6026,45.19137573,5.75408983,27/6/2021 19:21:55
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:57
27.4375,340,5.5969,45.19137573,5.75408983,27/6/2021 19:21:58
27.4375,338,5.5855,45.19137573,5.75408983,27/6/2021 19:22:0
27.4375,340,5.5884,45.19137573,5.75408983,27/6/2021 19:22:1
27.4375,338,5.5741,45.19137573,5.75408983,27/6/2021 19:22:3
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:5
27.4375,340,5.5969,45.19137573,5.75408983,27/6/2021 19:22:6
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:8
27.4375,340,5.5884,45.19137573,5.75408983,27/6/2021 19:22:9
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:11
27.4375,340,5.5855,45.19137573,5.75408983,27/6/2021 19:22:12
27.4375,338,5.5855,45.19137573,5.75408983,27/6/2021 19:22:14
27.4375,340,5.6055,45.19137573,5.75408983,27/6/2021 19:22:15
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:17
27.4375,340,5.5884,45.19137573,5.75408983,27/6/2021 19:22:18
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:20
27.4375,340,5.5941,45.19137573,5.75408983,27/6/2021 19:22:21
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:23
27.4375,340,5.5884,45.19137573,5.75408983,27/6/2021 19:22:24
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:26
27.4375,340,5.5998,45.19137573,5.75408983,27/6/2021 19:22:27
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:29
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:30
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:32
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:33
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:35
27.4375,340,5.5969,45.19137573,5.75408983,27/6/2021 19:22:36
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:38
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:39
27.4375,340,5.6197,45.19137573,5.75408983,27/6/2021 19:22:40
27.3750,339,5.6055,45.19137573,5.75408983,27/6/2021 19:22:42
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:44
27.3750,340,5.6026,45.19137573,5.75408983,27/6/2021 19:22:45
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:22:47
27.4375,336,5.5656,45.19137573,5.75408983,27/6/2021 19:22:48
27.4375,338,5.5770,45.19137573,5.75408983,27/6/2021 19:22:50
27.3750,340,5.5998,45.19137573,5.75408983,27/6/2021 19:22:51
27.4375,338,5.5855,45.19137573,5.75408983,27/6/2021 19:22:53
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:22:55
27.3750,339,5.5941,45.19137573,5.75408983,27/6/2021 19:22:57
27.4375,337,5.5713,45.19137573,5.75408983,27/6/2021 19:22:58
27.4375,336,5.5713,45.19137573,5.75408983,27/6/2021 19:22:59
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:1
27.3750,336,5.5656,45.19137573,5.75408983,27/6/2021 19:23:2
27.4375,339,5.5827,45.19137573,5.75408983,27/6/2021 19:23:3
27.4375,338,5.5855,45.19137573,5.75408983,27/6/2021 19:23:5
27.3750,340,5.5941,45.19137573,5.75408983,27/6/2021 19:23:6
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:8
27.3750,340,5.5884,45.19137573,5.75408983,27/6/2021 19:23:9
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:11
27.3750,340,5.5941,45.19137573,5.75408983,27/6/2021 19:23:12
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:14
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:16
27.4375,340,5.6055,45.19137573,5.75408983,27/6/2021 19:23:17
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:19
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:21
27.3750,339,5.5941,45.19137573,5.75408983,27/6/2021 19:23:23
27.3750,337,5.5713,45.19137573,5.75408983,27/6/2021 19:23:24
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:25
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:27
27.4375,340,5.5998,45.19137573,5.75408983,27/6/2021 19:23:28
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:30
27.3750,339,5.5827,45.19137573,5.75408983,27/6/2021 19:23:32
27.3750,337,5.5713,45.19137573,5.75408983,27/6/2021 19:23:33
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:34
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:36
27.4375,340,5.5998,45.19137573,5.75408983,27/6/2021 19:23:37
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:39
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:40
27.3750,338,5.5770,45.19137573,5.75408983,27/6/2021 19:23:42
27.3750,339,5.5855,45.19137573,5.75408983,27/6/2021 19:23:44
27.3750,337,5.5627,45.19137573,5.75408983,27/6/2021 19:23:45
27.3750,340,5.5884,45.19137573,5.75408983,27/6/2021 19:23:46
27.3750,338,5.5741,45.19137573,5.75408983,27/6/2021 19:23:48
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:49
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:23:51
27.3750,336,5.5570,45.19137573,5.75408983,27/6/2021 19:23:52
27.3750,338,5.5827,45.19137573,5.75408983,27/6/2021 19:23:54
27.3750,337,5.5684,45.19137573,5.75408983,27/6/2021 19:23:55
27.3750,338,5.5798,45.19137573,5.75408983,27/6/2021 19:23:57
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:23:58
27.3750,338,5.5770,45.19137573,5.75408983,27/6/2021 19:24:0
27.3750,340,5.5941,45.19137573,5.75408983,27/6/2021 19:24:1
27.3750,338,5.5855,45.19137573,5.75408983,27/6/2021 19:24:3
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:24:5
27.3750,337,5.5713,45.19137573,5.75408983,27/6/2021 19:24:6
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:24:7
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:24:9
27.3750,339,5.5884,45.19137573,5.75408983,27/6/2021 19:24:10
27.3750,338,5.5827,45.19137573,5.75408983,27/6/2021 19:24:12
27.3750,340,5.5884,45.19137573,5.75408983,27/6/2021 19:24:13
27.3750,338,5.5884,45.19137573,5.75408983,27/6/2021 19:24:15
27.3750,336,5.5627,45.19137573,5.75408983,27/6/2021 19:24:16
27.3750,338,5.5741,45.19137573,5.75408983,27/6/2021 19:24:18
27.3750,336,5.5627,45.19137573,5.75408983,27/6/2021 19:24:19
